fir_narrative,district,police_station,crime_location_type,date_of_crime,time_of_crime,day_of_week,season,reported_by,victim_gender,victim_age,accused_gender,accused_age,weapon_used,vehicle_involved,num_accused,relationship,ipc_section,crime_category,FIR_Quality_Score,Completeness,Consistency,Relevance
The accused forcibly entered the victim’s home and committed the crime.,Didwana-Kuchaman,Station C,park,2025-04-08,01:10:25,Tuesday,Spring,Eyewitness,Female,49,Male,24,stick,bike,5,Friend,IPC 376 (Rape),Rape,1.05,0.0,0.0,1.0499506294727325
The victim reported being sexually assaulted by a Acquaintance in a market.,Dausa,Station B,market,2025-03-24,03:18:16,Monday,Summer,Eyewitness,Female,20,Other,57,bare hands,scooter,3,Acquaintance,IPC 376 (Rape),Rape,1.7,0.8,0.0,0.9040310382843018
Unknown suspects broke into a bus stop and stole valuables.,Dausa,Station B,bus stop,2025-03-15,19:57:10,Saturday,Winter,Police,Other,71,Female,29,stick,scooter,2,Friend,IPC 379 (Theft),Theft,0.98,0.0,0.0,0.9772862792015076
"A heated argument turned violent at the residential area, injuring one person.",Phalodi,Station C,residential area,2025-03-16,15:41:26,Sunday,Spring,Victim,Other,16,Female,56,gun,auto,3,Stranger,IPC 323 (Assault),Assault,0.92,0.0,0.0,0.9247208833694458
The victim was robbed at gunpoint while returning home from work.,Dungarpur,Station A,residential area,2025-03-30,15:00:36,Sunday,Summer,Relative,Other,30,Female,65,bare hands,bike,2,Acquaintance,IPC 392 (Robbery),Robbery,1.2,0.0,0.0,1.2045089900493622
The victim’s vehicle was broken into and items were stolen.,Kotputli-Behror,Station C,highway,2024-06-07,21:45:25,Friday,Monsoon,Police,Female,45,Female,46,bare hands,auto,3,Friend,IPC 379 (Theft),Theft,1.15,0.0,0.0,1.1471603214740753
The victim was attacked and killed using a stick at a park.,Barmer,Station C,park,2024-05-30,18:44:20,Thursday,Spring,Victim,Male,32,Female,65,stick,car,3,Relative,IPC 302 (Murder),Murder,1.24,0.0,0.0,1.237499713897705
The victim was robbed at gunpoint while returning home from work.,Barmer,Station A,park,2025-04-24,05:24:01,Thursday,Summer,Police,Male,30,Female,26,gun,bike,1,Acquaintance,IPC 392 (Robbery),Robbery,1.2,0.0,0.0,1.2045089900493622
"A violent brawl broke out at a park, leading to serious injuries.",Kotputli-Behror,Station C,park,2024-10-03,09:43:02,Thursday,Monsoon,Police,Female,67,Male,38,bare hands,bike,2,Acquaintance,IPC 323 (Assault),Assault,0.86,0.0,0.0,0.8555434942245483
Unknown suspects broke into a market and stole valuables.,Sawai Madhopur,Station B,market,2025-03-17,14:05:17,Monday,Spring,Victim,Male,18,Male,35,bare hands,scooter,5,Acquaintance,IPC 379 (Theft),Theft,1.06,0.0,0.0,1.062130630016327
Robbers stormed a house and made away with cash and gold.,Khairthal-Tijara,Station A,bus stop,2024-08-17,15:03:38,Saturday,Summer,Police,Other,66,Male,23,knife,car,5,Relative,IPC 392 (Robbery),Robbery,1.0,0.0,0.0,1.004294514656067
Eyewitnesses reported a fatal altercation involving a gun near the school.,Barmer,Station C,school,2024-07-14,15:35:08,Sunday,Spring,Police,Other,64,Female,24,gun,bike,2,Friend,IPC 302 (Murder),Murder,0.84,0.0,0.0,0.8403117656707764
The victim reported being sexually assaulted by a Stranger in a school.,Jhalawar,Station B,school,2025-01-31,12:09:04,Friday,Monsoon,Eyewitness,Male,66,Female,30,stick,car,5,Stranger,IPC 376 (Rape),Rape,0.86,0.0,0.0,0.8614892363548279
"An armed robbery took place at a school, threatening the occupants.",Kotputli-Behror,Station B,school,2024-08-30,19:07:47,Friday,Winter,Eyewitness,Male,42,Male,35,knife,auto,2,Stranger,IPC 392 (Robbery),Robbery,1.15,0.0,0.0,1.1535313725471497
"A violent brawl broke out at a highway, leading to serious injuries.",Pali,Station C,highway,2025-01-28,23:43:18,Tuesday,Summer,Victim,Male,17,Female,29,stick,scooter,1,Acquaintance,IPC 323 (Assault),Assault,0.89,0.0,0.0,0.8907482028007507
The victim’s vehicle was broken into and items were stolen.,Kotputli-Behror,Station B,school,2025-02-04,06:47:58,Tuesday,Summer,Police,Female,38,Other,58,bare hands,scooter,5,Stranger,IPC 379 (Theft),Theft,1.15,0.0,0.0,1.1471603214740753
"A heated argument turned violent at the highway, injuring one person.",Sri Ganganagar,Station A,highway,2024-11-30,17:45:19,Saturday,Spring,Police,Other,38,Female,61,stick,auto,5,Friend,IPC 323 (Assault),Assault,0.8,0.0,0.0,0.7952787280082703
Eyewitnesses reported a fatal altercation involving a gun near the market.,Sawai Madhopur,Station B,market,2024-08-23,17:17:02,Friday,Spring,Victim,Other,17,Male,40,gun,car,1,Neighbor,IPC 302 (Murder),Murder,1.1,0.0,0.0,1.1033974885940552
A gang of masked robbers looted a store at a residential area.,Salumbar,Station A,residential area,2024-08-27,04:16:45,Tuesday,Spring,Victim,Male,58,Other,31,bare hands,scooter,2,Stranger,IPC 392 (Robbery),Robbery,1.14,0.0,0.0,1.1413362622261047
Unknown suspects broke into a market and stole valuables.,Beawar,Station C,market,2025-03-15,06:22:00,Saturday,Monsoon,Eyewitness,Male,14,Female,21,knife,car,3,Neighbor,IPC 379 (Theft),Theft,1.06,0.0,0.0,1.062130630016327
The victim reported being sexually assaulted by a Friend in a park.,Bundi,Station C,park,2024-12-14,20:38:13,Saturday,Spring,Victim,Male,57,Male,67,gun,scooter,4,Friend,IPC 376 (Rape),Rape,1.66,0.8,0.0,0.8631212711334229
"An armed robbery took place at a residential area, threatening the occupants.",Bikaner,Station C,residential area,2025-02-16,18:20:37,Sunday,Monsoon,Relative,Other,27,Male,41,gun,car,5,Neighbor,IPC 392 (Robbery),Robbery,1.47,0.0,0.0,1.473210722208023
The accused forcefully snatched the victim's belongings and fled on a car.,Dholpur,Station C,market,2024-10-02,05:06:51,Wednesday,Monsoon,Relative,Female,28,Female,69,gun,car,1,Stranger,IPC 392 (Robbery),Robbery,0.78,0.0,0.0,0.7772024273872375
"An armed robbery took place at a highway, threatening the occupants.",Churu,Station B,highway,2024-08-24,20:09:54,Saturday,Spring,Victim,Other,63,Female,56,knife,car,2,Relative,IPC 392 (Robbery),Robbery,1.25,0.0,0.0,1.248801827430725
"A violent brawl broke out at a bus stop, leading to serious injuries.",Hanumangarh,Station B,bus stop,2025-01-08,10:23:05,Wednesday,Monsoon,Police,Female,80,Other,62,gun,car,2,Stranger,IPC 323 (Assault),Assault,0.81,0.0,0.0,0.808120608329773
The accused used a stick to fatally wound the victim at their residence.,Jhalawar,Station A,bus stop,2025-05-20,21:34:03,Tuesday,Winter,Relative,Other,67,Male,21,stick,auto,1,Relative,IPC 302 (Murder),Murder,1.08,0.0,0.0,1.080114483833313
"An armed robbery took place at a bus stop, threatening the occupants.",Jhunjhunu,Station A,bus stop,2025-01-31,05:29:31,Friday,Spring,Police,Female,52,Other,25,bare hands,bike,4,Relative,IPC 392 (Robbery),Robbery,1.25,0.0,0.0,1.2470667958259583
The victim was abducted and raped in a moving vehicle by unknown individuals.,Sikar,Station B,school,2025-03-23,11:51:01,Sunday,Spring,Police,Female,79,Other,41,knife,auto,3,Neighbor,IPC 376 (Rape),Rape,1.08,0.0,0.0,1.0808066725730896
The accused used a knife to fatally wound the victim at their residence.,Beawar,Station A,school,2025-03-15,14:18:37,Saturday,Winter,Victim,Female,63,Female,34,knife,auto,4,Acquaintance,IPC 302 (Murder),Murder,1.03,0.0,0.0,1.030611366033554
"A violent brawl broke out at a highway, leading to serious injuries.",Udaipur,Station C,highway,2024-07-21,18:28:51,Sunday,Monsoon,Relative,Other,41,Other,45,bare hands,car,1,Friend,IPC 323 (Assault),Assault,0.89,0.0,0.0,0.8907482028007507
The victim was attacked and killed using a bare hands at a residential area.,Dholpur,Station C,residential area,2025-02-15,12:40:13,Saturday,Monsoon,Police,Male,33,Other,28,bare hands,scooter,5,Acquaintance,IPC 302 (Murder),Murder,1.35,0.0,0.0,1.348424881696701
"A violent brawl broke out at a market, leading to serious injuries.",Udaipur,Station B,market,2025-01-31,04:42:16,Friday,Summer,Relative,Other,80,Male,54,gun,scooter,3,Relative,IPC 323 (Assault),Assault,0.79,0.0,0.0,0.79172283411026
The accused forcibly entered the victim’s home and committed the crime.,Deeg,Station C,park,2024-12-27,09:26:01,Friday,Monsoon,Relative,Female,50,Male,43,knife,bike,3,Stranger,IPC 376 (Rape),Rape,1.05,0.0,0.0,1.0499506294727325
"A violent brawl broke out at a highway, leading to serious injuries.",Kota,Station A,highway,2025-01-20,14:49:43,Monday,Winter,Police,Female,25,Male,45,knife,bike,4,Relative,IPC 323 (Assault),Assault,0.89,0.0,0.0,0.8907482028007507
A local resident was found murdered in a market under mysterious circumstances.,Khairthal-Tijara,Station C,market,2024-11-16,04:08:15,Saturday,Winter,Police,Other,14,Other,56,knife,auto,2,Neighbor,IPC 302 (Murder),Murder,1.03,0.0,0.0,1.0324283838272095
A theft was reported where items were stolen from a bus stop.,Jodhpur,Station B,bus stop,2025-01-18,02:05:54,Saturday,Summer,Police,Female,33,Other,17,gun,auto,1,Acquaintance,IPC 379 (Theft),Theft,1.37,0.0,0.0,1.3653340637683868
The accused forcefully snatched the victim's belongings and fled on a auto.,Khairthal-Tijara,Station C,school,2024-08-15,10:44:40,Thursday,Winter,Relative,Male,70,Male,59,bare hands,auto,4,Neighbor,IPC 392 (Robbery),Robbery,0.85,0.0,0.0,0.8491199612617493
Robbers stormed a house and made away with cash and gold.,Baran,Station C,school,2024-06-12,07:19:26,Wednesday,Monsoon,Eyewitness,Other,62,Female,41,stick,bike,4,Neighbor,IPC 392 (Robbery),Robbery,1.0,0.0,0.0,1.004294514656067
Pickpocketing occurred in a crowded school.,Salumbar,Station C,school,2024-10-22,16:46:19,Tuesday,Winter,Police,Female,41,Female,19,stick,bike,1,Neighbor,IPC 379 (Theft),Theft,0.71,0.0,0.0,0.707983061671257
The victim reported being sexually assaulted by a Neighbor in a bus stop.,Sirohi,Station A,bus stop,2024-12-30,19:28:59,Monday,Summer,Police,Female,54,Female,33,bare hands,car,1,Neighbor,IPC 376 (Rape),Rape,0.83,0.0,0.0,0.829832911491394
Unknown suspects broke into a highway and stole valuables.,Chittorgarh,Station C,highway,2025-02-21,00:57:41,Friday,Monsoon,Police,Male,31,Other,70,stick,scooter,2,Relative,IPC 379 (Theft),Theft,0.87,0.0,0.0,0.8696705102920532
The victim was attacked and killed using a bare hands at a highway.,Khairthal-Tijara,Station A,highway,2024-12-21,03:19:11,Saturday,Winter,Police,Female,10,Female,67,bare hands,bike,1,Neighbor,IPC 302 (Murder),Murder,1.09,0.0,0.0,1.0928656160831451
The accused forcefully snatched the victim's belongings and fled on a car.,Sikar,Station C,highway,2025-05-14,08:02:18,Wednesday,Spring,Relative,Male,70,Other,28,gun,car,5,Acquaintance,IPC 392 (Robbery),Robbery,0.78,0.0,0.0,0.7772024273872375
The accused physically assaulted the victim using a gun at a highway.,Jalore,Station A,highway,2025-05-26,03:11:06,Monday,Winter,Victim,Female,48,Other,35,gun,scooter,2,Relative,IPC 323 (Assault),Assault,0.91,0.0,0.0,0.9104351699352264
A local resident was found murdered in a residential area under mysterious circumstances.,Beawar,Station C,residential area,2024-09-21,09:43:17,Saturday,Summer,Relative,Male,68,Male,31,bare hands,car,5,Friend,IPC 302 (Murder),Murder,1.1,0.0,0.0,1.1024294793605804
"A heated argument turned violent at the bus stop, injuring one person.",Jhunjhunu,Station C,bus stop,2024-12-28,16:51:09,Saturday,Summer,Police,Other,68,Other,70,bare hands,scooter,5,Relative,IPC 323 (Assault),Assault,0.73,0.0,0.0,0.7315022796392441
Police received a report of assault involving two individuals at a park.,Sirohi,Station B,park,2024-11-11,16:34:48,Monday,Summer,Victim,Female,40,Female,31,gun,auto,3,Acquaintance,IPC 323 (Assault),Assault,1.02,0.0,0.0,1.0233026146888733
Eyewitnesses reported a fatal altercation involving a gun near the bus stop.,Tonk,Station B,bus stop,2024-09-27,05:44:19,Friday,Spring,Victim,Female,40,Other,63,gun,scooter,2,Neighbor,IPC 302 (Murder),Murder,0.96,0.0,0.0,0.9630680680274963
The accused forcibly entered the victim’s home and committed the crime.,Hanumangarh,Station A,highway,2025-01-19,07:50:41,Sunday,Monsoon,Relative,Other,20,Male,39,stick,auto,2,Stranger,IPC 376 (Rape),Rape,1.05,0.0,0.0,1.0499506294727325
An incident of rape was reported where the accused lured the victim to a park.,Jhalawar,Station B,park,2024-11-07,05:27:17,Thursday,Winter,Victim,Other,17,Other,50,knife,auto,2,Relative,IPC 376 (Rape),Rape,1.2,0.0,0.0,1.201119840145111
An incident of rape was reported where the accused lured the victim to a highway.,Nagaur,Station A,highway,2024-09-27,16:00:09,Friday,Monsoon,Police,Other,46,Male,51,knife,auto,4,Stranger,IPC 376 (Rape),Rape,1.04,0.0,0.0,1.0392445921897888
Unknown suspects broke into a bus stop and stole valuables.,Kota,Station C,bus stop,2024-09-25,20:36:30,Wednesday,Monsoon,Relative,Other,65,Other,48,stick,bike,4,Friend,IPC 379 (Theft),Theft,0.98,0.0,0.0,0.9772862792015076
Jewelry and cash were stolen from a market during daytime.,Balotra,Station A,market,2025-03-05,14:37:59,Wednesday,Spring,Police,Other,53,Male,59,gun,scooter,3,Relative,IPC 379 (Theft),Theft,1.79,0.8,0.0,0.9854668378829956
Pickpocketing occurred in a crowded park.,Barmer,Station C,park,2024-12-02,12:13:05,Monday,Monsoon,Victim,Female,50,Female,28,gun,bike,4,Neighbor,IPC 379 (Theft),Theft,0.81,0.0,0.0,0.8108842670917511
Pickpocketing occurred in a crowded residential area.,Bhilwara,Station B,residential area,2025-03-14,11:32:44,Friday,Winter,Police,Male,39,Other,59,stick,auto,1,Friend,IPC 379 (Theft),Theft,0.91,0.0,0.0,0.9088332653045654
The accused physically assaulted the victim using a knife at a residential area.,Nagaur,Station A,residential area,2024-12-03,20:52:31,Tuesday,Spring,Eyewitness,Male,44,Female,64,knife,auto,5,Friend,IPC 323 (Assault),Assault,0.98,0.0,0.0,0.9764558672904968
Jewelry and cash were stolen from a school during daytime.,Chittorgarh,Station C,school,2024-09-01,12:23:09,Sunday,Monsoon,Eyewitness,Other,70,Female,51,bare hands,bike,5,Neighbor,IPC 379 (Theft),Theft,0.86,0.0,0.0,0.8596814274787903
"A violent brawl broke out at a market, leading to serious injuries.",Kotputli-Behror,Station B,market,2024-09-18,17:20:02,Wednesday,Spring,Police,Female,51,Female,62,stick,car,3,Acquaintance,IPC 323 (Assault),Assault,0.79,0.0,0.0,0.79172283411026
Robbers stormed a house and made away with cash and gold.,Balotra,Station C,market,2024-11-20,05:46:03,Wednesday,Spring,Victim,Male,11,Female,42,bare hands,bike,1,Stranger,IPC 392 (Robbery),Robbery,1.0,0.0,0.0,1.004294514656067
An incident of rape was reported where the accused lured the victim to a school.,Ajmer,Station C,school,2025-04-27,06:23:53,Sunday,Monsoon,Police,Female,45,Female,36,bare hands,scooter,5,Relative,IPC 376 (Rape),Rape,1.09,0.0,0.0,1.0923691391944885
A theft was reported where items were stolen from a bus stop.,Bikaner,Station B,bus stop,2025-01-23,15:22:41,Thursday,Summer,Police,Female,63,Female,44,knife,bike,2,Stranger,IPC 379 (Theft),Theft,1.37,0.0,0.0,1.3653340637683868
The victim reported being sexually assaulted by a Acquaintance in a residential area.,Chittorgarh,Station A,residential area,2024-09-01,23:39:14,Sunday,Summer,Eyewitness,Male,18,Other,25,knife,auto,3,Acquaintance,IPC 376 (Rape),Rape,1.7,0.8,0.0,0.8965284526348114
The victim was attacked and killed using a bare hands at a bus stop.,Phalodi,Station C,bus stop,2024-07-15,03:26:31,Monday,Monsoon,Police,Other,54,Other,32,bare hands,bike,1,Friend,IPC 302 (Murder),Murder,1.12,0.0,0.0,1.1239883601665497
"A heated argument turned violent at the market, injuring one person.",Barmer,Station A,market,2024-10-04,20:54:03,Friday,Winter,Victim,Male,43,Male,47,gun,auto,4,Neighbor,IPC 323 (Assault),Assault,0.64,0.0,0.0,0.63853320479393
The victim was attacked from behind with a stick at a bus stop.,Sri Ganganagar,Station C,bus stop,2024-06-04,13:37:36,Tuesday,Monsoon,Victim,Female,59,Other,50,stick,bike,3,Stranger,IPC 323 (Assault),Assault,0.78,0.0,0.0,0.7840245366096497
The accused physically assaulted the victim using a gun at a school.,Balotra,Station B,school,2024-06-06,02:55:51,Thursday,Winter,Victim,Male,58,Other,66,gun,auto,1,Stranger,IPC 323 (Assault),Assault,0.77,0.0,0.0,0.7719437777996063
Eyewitnesses reported a fatal altercation involving a gun near the residential area.,Udaipur,Station C,residential area,2024-12-19,08:59:07,Thursday,Summer,Victim,Female,28,Other,32,gun,car,4,Friend,IPC 302 (Murder),Murder,1.2,0.0,0.0,1.2000762820243835
An incident of rape was reported where the accused lured the victim to a highway.,Rajsamand,Station B,highway,2025-05-22,14:50:08,Thursday,Winter,Victim,Other,79,Female,21,stick,scooter,2,Neighbor,IPC 376 (Rape),Rape,1.04,0.0,0.0,1.0392445921897888
The accused forcefully snatched the victim's belongings and fled on a car.,Barmer,Station B,school,2024-11-18,05:47:47,Monday,Spring,Victim,Female,74,Other,55,knife,car,3,Relative,IPC 392 (Robbery),Robbery,0.78,0.0,0.0,0.7772024273872375
Jewelry and cash were stolen from a market during daytime.,Deeg,Station A,market,2025-04-26,17:27:55,Saturday,Winter,Police,Female,20,Female,54,stick,car,1,Relative,IPC 379 (Theft),Theft,1.79,0.8,0.0,0.9854668378829956
"A heated argument turned violent at the residential area, injuring one person.",Pali,Station B,residential area,2024-10-06,04:42:00,Sunday,Monsoon,Victim,Other,47,Male,23,knife,car,1,Acquaintance,IPC 323 (Assault),Assault,0.92,0.0,0.0,0.9247208833694458
The accused forcibly entered the victim’s home and committed the crime.,Jaisalmer,Station A,park,2024-09-21,13:24:00,Saturday,Winter,Victim,Other,61,Male,40,gun,car,1,Stranger,IPC 376 (Rape),Rape,1.05,0.0,0.0,1.0499506294727325
Eyewitnesses reported a fatal altercation involving a bare hands near the market.,Kotputli-Behror,Station A,market,2024-06-22,23:25:48,Saturday,Winter,Eyewitness,Other,25,Other,33,bare hands,car,1,Stranger,IPC 302 (Murder),Murder,0.97,0.0,0.0,0.9717375040054321
A gang of masked robbers looted a store at a park.,Sri Ganganagar,Station B,park,2024-12-21,20:56:06,Saturday,Winter,Police,Female,71,Female,29,stick,bike,5,Neighbor,IPC 392 (Robbery),Robbery,1.06,0.0,0.0,1.0635316371917725
The accused forcibly entered the victim’s home and committed the crime.,Deeg,Station C,highway,2025-03-08,20:07:29,Saturday,Monsoon,Eyewitness,Male,13,Female,43,gun,scooter,2,Neighbor,IPC 376 (Rape),Rape,1.05,0.0,0.0,1.0499506294727325
Police received a report of assault involving two individuals at a bus stop.,Dholpur,Station A,bus stop,2025-02-01,14:26:23,Saturday,Spring,Victim,Female,27,Other,35,knife,auto,4,Friend,IPC 323 (Assault),Assault,0.92,0.0,0.0,0.9182856380939484
The accused forcibly entered the victim’s home and committed the crime.,Churu,Station A,highway,2025-01-26,11:41:58,Sunday,Winter,Eyewitness,Male,78,Male,24,bare hands,bike,3,Neighbor,IPC 376 (Rape),Rape,1.05,0.0,0.0,1.0499506294727325
An incident of rape was reported where the accused lured the victim to a market.,Sirohi,Station C,market,2024-07-13,04:56:54,Saturday,Winter,Victim,Other,14,Male,47,knife,scooter,1,Friend,IPC 376 (Rape),Rape,1.27,0.0,0.0,1.2740156650543213
The victim was attacked and killed using a knife at a residential area.,Jodhpur,Station C,residential area,2024-07-16,03:17:31,Tuesday,Summer,Relative,Other,72,Female,32,knife,auto,4,Neighbor,IPC 302 (Murder),Murder,1.41,0.0,0.0,1.4101700484752655
Robbers stormed a house and made away with cash and gold.,Jaipur,Station C,park,2024-08-04,02:26:04,Sunday,Winter,Victim,Female,67,Female,52,knife,scooter,4,Relative,IPC 392 (Robbery),Robbery,1.0,0.0,0.0,1.004294514656067
Robbers stormed a house and made away with cash and gold.,Beawar,Station B,residential area,2024-11-25,08:37:15,Monday,Summer,Victim,Other,47,Other,29,stick,scooter,1,Friend,IPC 392 (Robbery),Robbery,1.0,0.0,0.0,1.004294514656067
A theft was reported where items were stolen from a highway.,Salumbar,Station A,highway,2024-11-24,07:36:12,Sunday,Monsoon,Victim,Female,48,Male,20,gun,auto,2,Friend,IPC 379 (Theft),Theft,1.34,0.0,0.0,1.3367257118225098
Police received a report of assault involving two individuals at a highway.,Phalodi,Station C,highway,2025-02-11,21:13:41,Tuesday,Summer,Relative,Male,10,Other,18,knife,scooter,3,Acquaintance,IPC 323 (Assault),Assault,1.0,0.0,0.0,1.0014241933822632
"An armed robbery took place at a bus stop, threatening the occupants.",Bikaner,Station C,bus stop,2025-04-26,16:50:18,Saturday,Summer,Relative,Male,25,Male,44,bare hands,bike,1,Neighbor,IPC 392 (Robbery),Robbery,1.25,0.0,0.0,1.2470667958259583
Pickpocketing occurred in a crowded residential area.,Balotra,Station C,residential area,2025-04-01,09:41:41,Tuesday,Spring,Relative,Other,73,Female,69,bare hands,scooter,5,Stranger,IPC 379 (Theft),Theft,0.91,0.0,0.0,0.9088332653045654
A local resident was found murdered in a school under mysterious circumstances.,Nagaur,Station C,school,2024-10-13,17:49:58,Sunday,Summer,Police,Female,56,Other,16,gun,auto,3,Neighbor,IPC 302 (Murder),Murder,0.84,0.0,0.0,0.8356472253799438
A gang of masked robbers looted a store at a highway.,Dholpur,Station C,highway,2024-08-24,05:31:01,Saturday,Summer,Eyewitness,Female,20,Other,57,gun,car,2,Stranger,IPC 392 (Robbery),Robbery,0.98,0.0,0.0,0.9794159531593323
"A violent brawl broke out at a highway, leading to serious injuries.",Sri Ganganagar,Station A,highway,2025-02-22,09:58:17,Saturday,Spring,Victim,Male,56,Female,43,gun,scooter,4,Stranger,IPC 323 (Assault),Assault,0.89,0.0,0.0,0.8907482028007507
A theft was reported where items were stolen from a residential area.,Sirohi,Station A,residential area,2024-09-13,15:14:43,Friday,Spring,Police,Female,44,Female,29,bare hands,auto,5,Stranger,IPC 379 (Theft),Theft,1.42,0.0,0.0,1.420541524887085
The victim was abducted and raped in a moving vehicle by unknown individuals.,Pali,Station B,park,2025-01-05,10:14:39,Sunday,Monsoon,Eyewitness,Other,22,Female,52,gun,auto,2,Acquaintance,IPC 376 (Rape),Rape,1.08,0.0,0.0,1.0808066725730896
A gang of masked robbers looted a store at a school.,Khairthal-Tijara,Station C,school,2024-09-04,17:40:07,Wednesday,Monsoon,Relative,Other,71,Female,43,knife,scooter,2,Stranger,IPC 392 (Robbery),Robbery,0.9,0.0,0.0,0.9016091823577881
The victim was attacked and killed using a stick at a residential area.,Karauli,Station B,residential area,2024-07-12,02:46:45,Friday,Winter,Eyewitness,Male,62,Male,46,stick,scooter,5,Stranger,IPC 302 (Murder),Murder,1.4,0.0,0.0,1.3996301293373108
The victim was abducted and raped in a moving vehicle by unknown individuals.,Bhilwara,Station B,bus stop,2025-04-27,02:00:26,Sunday,Winter,Eyewitness,Other,20,Female,60,knife,car,5,Neighbor,IPC 376 (Rape),Rape,1.08,0.0,0.0,1.0808066725730896
The accused physically assaulted the victim using a bare hands at a bus stop.,Khairthal-Tijara,Station C,bus stop,2024-07-21,08:47:28,Sunday,Monsoon,Eyewitness,Other,32,Male,22,bare hands,auto,3,Neighbor,IPC 323 (Assault),Assault,0.68,0.0,0.0,0.6819780617952347
The victim was abducted and raped in a moving vehicle by unknown individuals.,Hanumangarh,Station B,school,2024-12-28,01:29:19,Saturday,Spring,Victim,Other,13,Female,19,stick,scooter,3,Neighbor,IPC 376 (Rape),Rape,1.08,0.0,0.0,1.0808066725730896
The victim’s vehicle was broken into and items were stolen.,Sikar,Station A,residential area,2024-11-17,07:35:41,Sunday,Monsoon,Relative,Female,54,Female,32,bare hands,auto,5,Friend,IPC 379 (Theft),Theft,1.15,0.0,0.0,1.1471603214740753
Pickpocketing occurred in a crowded school.,Karauli,Station B,school,2024-12-22,22:37:20,Sunday,Monsoon,Victim,Male,44,Female,47,gun,bike,1,Relative,IPC 379 (Theft),Theft,0.71,0.0,0.0,0.707983061671257
"A violent brawl broke out at a residential area, leading to serious injuries.",Khairthal-Tijara,Station C,residential area,2024-11-06,05:31:02,Wednesday,Summer,Police,Other,50,Female,54,knife,car,3,Friend,IPC 323 (Assault),Assault,1.02,0.0,0.0,1.0218038856983185
A local resident was found murdered in a school under mysterious circumstances.,Dholpur,Station C,school,2024-10-14,04:33:12,Monday,Winter,Police,Female,49,Female,26,knife,scooter,4,Relative,IPC 302 (Murder),Murder,0.84,0.0,0.0,0.8356472253799438
The victim was attacked and killed using a bare hands at a highway.,Alwar,Station B,highway,2024-06-16,13:46:51,Sunday,Monsoon,Victim,Female,77,Other,22,bare hands,car,1,Neighbor,IPC 302 (Murder),Murder,1.09,0.0,0.0,1.0928656160831451
"An armed robbery took place at a residential area, threatening the occupants.",Tonk,Station C,residential area,2024-07-15,05:35:54,Monday,Summer,Victim,Other,57,Male,41,bare hands,scooter,1,Stranger,IPC 392 (Robbery),Robbery,1.47,0.0,0.0,1.473210722208023
Eyewitnesses reported a fatal altercation involving a gun near the school.,Pratapgarh,Station A,school,2024-08-09,00:43:24,Friday,Winter,Eyewitness,Female,80,Female,61,gun,car,5,Acquaintance,IPC 302 (Murder),Murder,0.84,0.0,0.0,0.8403117656707764
Unknown suspects broke into a bus stop and stole valuables.,Bundi,Station B,bus stop,2025-02-01,15:02:51,Saturday,Winter,Police,Other,37,Male,39,knife,scooter,5,Friend,IPC 379 (Theft),Theft,0.98,0.0,0.0,0.9772862792015076
Jewelry and cash were stolen from a market during daytime.,Bundi,Station C,market,2025-01-16,09:00:50,Thursday,Winter,Police,Other,13,Other,63,bare hands,auto,3,Stranger,IPC 379 (Theft),Theft,1.79,0.8,0.0,0.9854668378829956
The body of the victim was discovered at a bus stop with signs of struggle.,Bhilwara,Station B,bus stop,2024-10-21,04:19:59,Monday,Monsoon,Victim,Female,27,Other,66,bare hands,auto,4,Relative,IPC 302 (Murder),Murder,0.76,0.0,0.0,0.7580232918262482
Pickpocketing occurred in a crowded residential area.,Khairthal-Tijara,Station A,residential area,2024-07-05,04:27:55,Friday,Winter,Eyewitness,Female,61,Other,38,stick,scooter,1,Relative,IPC 379 (Theft),Theft,0.91,0.0,0.0,0.9088332653045654
Unknown suspects broke into a bus stop and stole valuables.,Sawai Madhopur,Station A,bus stop,2024-08-10,00:11:19,Saturday,Winter,Victim,Other,15,Other,18,bare hands,car,2,Neighbor,IPC 379 (Theft),Theft,0.98,0.0,0.0,0.9772862792015076
A theft was reported where items were stolen from a park.,Kota,Station A,park,2024-08-05,18:42:19,Monday,Winter,Victim,Male,70,Female,50,bare hands,scooter,5,Acquaintance,IPC 379 (Theft),Theft,1.37,0.0,0.0,1.3701566755771637
Eyewitnesses reported a fatal altercation involving a gun near the school.,Kota,Station B,school,2025-03-14,11:39:52,Friday,Spring,Eyewitness,Other,15,Other,19,gun,scooter,1,Stranger,IPC 302 (Murder),Murder,0.84,0.0,0.0,0.8403117656707764
The victim was attacked and killed using a gun at a residential area.,Bharatpur,Station C,residential area,2025-04-03,05:22:52,Thursday,Summer,Victim,Female,46,Female,45,gun,scooter,1,Friend,IPC 302 (Murder),Murder,1.44,0.0,0.0,1.4419108629226685
"A heated argument turned violent at the highway, injuring one person.",Tonk,Station B,highway,2024-07-23,04:15:33,Tuesday,Winter,Police,Female,47,Male,55,gun,scooter,1,Stranger,IPC 323 (Assault),Assault,0.8,0.0,0.0,0.7952787280082703
Eyewitnesses reported a fatal altercation involving a bare hands near the market.,Phalodi,Station C,market,2024-11-26,00:22:29,Tuesday,Spring,Victim,Female,76,Female,39,bare hands,scooter,4,Relative,IPC 302 (Murder),Murder,0.97,0.0,0.0,0.9717375040054321
